Symbol,cluster,Cluster_name
CFG,0,Lower-vol
CHD,0,Lower-vol
CHRW,0,Lower-vol
CHTR,0,Lower-vol
CI,0,Lower-vol
CIEN,0,Lower-vol
CINF,0,Lower-vol
CL,0,Lower-vol
CLX,0,Lower-vol
CMCSA,0,Lower-vol
CME,0,Lower-vol
CMG,0,Lower-vol
CMI,0,Lower-vol
CMS,0,Lower-vol
CNC,0,Lower-vol
CNP,0,Lower-vol
COF,0,Lower-vol
COIN,1,Higher-vol
COO,0,Lower-vol
COP,0,Lower-vol
COR,0,Lower-vol
COST,0,Lower-vol
CPAY,0,Lower-vol
CPB,0,Lower-vol
CPRT,0,Lower-vol
CPT,0,Lower-vol
CRH,0,Lower-vol
CRL,0,Lower-vol
CRM,0,Lower-vol
CRWD,1,Higher-vol
CSCO,0,Lower-vol
CSGP,0,Lower-vol
CSX,0,Lower-vol
CTAS,0,Lower-vol
CTRA,0,Lower-vol
CTSH,0,Lower-vol
CTVA,0,Lower-vol
CVNA,1,Higher-vol
CVS,0,Lower-vol
CVX,0,Lower-vol
D,0,Lower-vol
DAL,0,Lower-vol
DASH,1,Higher-vol
DD,0,Lower-vol
DDOG,1,Higher-vol
DE,0,Lower-vol
DECK,0,Lower-vol
DELL,0,Lower-vol
DG,0,Lower-vol
DGX,0,Lower-vol
DHI,0,Lower-vol
DHR,0,Lower-vol
DIS,0,Lower-vol
DLR,0,Lower-vol
DLTR,0,Lower-vol
DOC,0,Lower-vol
DOV,0,Lower-vol
DOW,0,Lower-vol
DPZ,0,Lower-vol
DRI,0,Lower-vol
DTE,0,Lower-vol
DUK,0,Lower-vol
DVA,1,Higher-vol
DVN,0,Lower-vol
DXCM,1,Higher-vol
EA,0,Lower-vol
EBAY,0,Lower-vol
ECL,0,Lower-vol
ED,0,Lower-vol
EFX,0,Lower-vol
EG,0,Lower-vol
EIX,0,Lower-vol
EL,0,Lower-vol
ELV,0,Lower-vol
EME,0,Lower-vol
EMR,0,Lower-vol
EOG,0,Lower-vol
EPAM,1,Higher-vol
EQIX,0,Lower-vol
EQR,0,Lower-vol
EQT,1,Higher-vol
ERIE,0,Lower-vol
ES,0,Lower-vol
ESS,0,Lower-vol
ETN,0,Lower-vol
ETR,0,Lower-vol
EVRG,0,Lower-vol
EW,0,Lower-vol
EXC,0,Lower-vol
EXE,0,Lower-vol
EXPD,0,Lower-vol
EXPE,1,Higher-vol
EXR,0,Lower-vol
F,0,Lower-vol
FANG,0,Lower-vol
FAST,0,Lower-vol
FCX,0,Lower-vol
FDS,0,Lower-vol
FDX,0,Lower-vol
FE,0,Lower-vol
FFIV,0,Lower-vol
FICO,0,Lower-vol
FIS,1,Higher-vol
FISV,0,Lower-vol
FITB,0,Lower-vol
FIX,0,Lower-vol
FOX,0,Lower-vol
FOXA,0,Lower-vol
FRT,0,Lower-vol
FSLR,1,Higher-vol
FTNT,1,Higher-vol
FTV,0,Lower-vol
GD,0,Lower-vol
GDDY,0,Lower-vol
GE,0,Lower-vol
GEHC,0,Lower-vol
GEN,0,Lower-vol
GILD,0,Lower-vol
GIS,0,Lower-vol
GL,0,Lower-vol
GLW,0,Lower-vol
GM,0,Lower-vol
GNRC,1,Higher-vol
GOOG,0,Lower-vol
GOOGL,0,Lower-vol
GPC,0,Lower-vol
GPN,0,Lower-vol
GRMN,0,Lower-vol
GS,0,Lower-vol
GWW,0,Lower-vol
HAL,0,Lower-vol
HAS,0,Lower-vol
HBAN,0,Lower-vol
HCA,0,Lower-vol
HD,0,Lower-vol
HIG,0,Lower-vol
HII,0,Lower-vol
HLT,0,Lower-vol
HOLX,0,Lower-vol
HON,0,Lower-vol
HOOD,1,Higher-vol
HPE,0,Lower-vol
HPQ,0,Lower-vol
HRL,0,Lower-vol
HSIC,0,Lower-vol
HST,0,Lower-vol
HSY,0,Lower-vol
HUBB,0,Lower-vol
HUM,0,Lower-vol
HWM,0,Lower-vol
IBKR,0,Lower-vol
IBM,0,Lower-vol
ICE,0,Lower-vol
IDXX,0,Lower-vol
IEX,0,Lower-vol
IFF,0,Lower-vol
INCY,0,Lower-vol
INTC,0,Lower-vol
INTU,0,Lower-vol
INVH,0,Lower-vol
IP,0,Lower-vol
IQV,0,Lower-vol
IR,0,Lower-vol
IRM,0,Lower-vol
ISRG,0,Lower-vol
IT,0,Lower-vol
ITW,0,Lower-vol
IVZ,0,Lower-vol
J,0,Lower-vol
JBHT,0,Lower-vol
JBL,0,Lower-vol
JCI,0,Lower-vol
JKHY,0,Lower-vol
JNJ,0,Lower-vol
JPM,0,Lower-vol
